ID	TYPE	TITLE	F	ARTIST	YEAR	SEASON	MONTH	DAY	H	RS_YEAR	RS_SEASON	RS_MONTH	RS_DAY	RE_YEAR	RE_SEASON	RE_MONTH	RE_DAY	LEN	NOT	NOT_EST_LOW	NOT_EST_HIGH	LEN_EST_LOW	LEN_EST_HIGH	LOCATION	LABEL	ERA	BANDCAMP ID	DESC	CREDITS	LYRICS
DUG001	mini-album	Posneg	FALSE	Posneg	2008	0			TRUE		0									7	12	25	45	MUR		child				
DUG002	album	My Last Place	FALSE	Posneg	2008	1			TRUE		1									7	14	25	45	MUR		child				
DUG002b	ep	1AM	FALSE	Posneg	2008	2			TRUE		2									4	7	10	25	CDY		child				
DUG002c	ep	Domain of the Growths	FALSE	FDVCE	2008		7		TRUE		2									3	6	10	20	CDY		child				
DUG003	album	Rolling Glass	FALSE	FDVCE	2008				TRUE		2							32	12					CDY		child				
DUG004	compliation	FDVCE	FALSE	FDVCE	2008				TRUE		2									11	15	30	60	CDY		child				
DUG005	album	Two Jupiters	FALSE	FDVCE	2008				TRUE		2									5	9	20	35	CDY		child				
DUG006	album	Torch Man Story	FALSE	FDVCE	2008	3			TRUE		3							30	8					CDY		child				
DUG000a	compilation	Primeval Dross	FALSE	FDVCE	2008				FALSE	2008								64	20					CDY		child	3292042228			
DUG007	mini-album	Layer Zero	FALSE	FDVCE	2009	3			TRUE										6			15	25	CDY		child				
DUG008	album	Seaweed Dances	FALSE	FDVCE	2009		5		TRUE		1								10			45	65	CDY		child				
DUG009	album	Leguminous Rhythms	FALSE	FDVCE	2009		9		TRUE		2				3			60	22					CDY		child				
DUG010	album	Three Legs, Two Bandits	FALSE	FDVCE	2009		10		TRUE		3								16			73	78	CDY		child				
DUG000b	compilation	Provenance Fen	FALSE	FDVCE	2009				FALSE	2009								131	37					CDY		child	3261715349			
DUG010b	ep	One	FALSE	FDVCE	2009		11		TRUE		3							28		5	7			CDY		child				
DUG011	album	Colossus Archosaur	FALSE	FDVCE	2010		1	1	FALSE	2009	3			2010	4			73	22					CDY		child	3450513756			
